"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/11/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/08/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/07/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/06/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/05/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/04/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/01/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/31/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/30/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/29/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/28/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/25/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/24/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/23/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/22/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/18/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/17/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/16/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/15/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/14/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/11/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/10/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/09/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/08/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/07/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/04/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/03/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"01/02/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"12/31/2018","2.4000","2.4000","2.4000","2.4000","","0.00%"
"12/28/2018","2.4000","2.4000","2.4000","2.4000","","0.00%"
"12/27/2018","2.4000","2.4000","2.4000","2.4000","","0.00%"
"12/26/2018","2.4000","2.4000","2.4000","2.4000","","0.42%"
"12/24/2018","2.3900","2.3900","2.3900","2.3900","","0.00%"
"12/21/2018","2.3900","2.3900","2.3900","2.3900","","0.00%"
"12/20/2018","2.3900","2.3900","2.3900","2.3900","","9.13%"
"12/19/2018","2.1900","2.1900","2.1900","2.1900","","0.00%"
"12/18/2018","2.1900","2.1900","2.1900","2.1900","","0.00%"
"12/17/2018","2.1900","2.1900","2.1900","2.1900","","0.00%"
"12/14/2018","2.1900","2.1900","2.1900","2.1900","","0.00%"
"12/13/2018","2.1900","2.1900","2.1900","2.1900","","0.00%"
"12/12/2018","2.1900","2.1900","2.1900","2.1900","","0.00%"
"12/11/2018","2.1900","2.1900","2.1900","2.1900","","0.00%"
"12/10/2018","2.1900","2.1900","2.1900","2.1900","","-0.45%"
"12/07/2018","2.2000","2.2000","2.2000","2.2000","","0.00%"
"12/06/2018","2.2000","2.2000","2.2000","2.2000","","-0.45%"
"12/05/2018","2.2100","2.2100","2.2100","2.2100","","1.38%"
"12/04/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"12/03/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/30/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/29/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/28/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/27/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/26/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/23/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/21/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/20/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/19/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/16/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/15/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/14/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/13/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/09/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/08/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/07/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/06/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/05/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/02/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"11/01/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"10/31/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"10/30/2018","2.1800","2.1800","2.1800","2.1800","","-0.91%"
"10/29/2018","2.2000","2.2000","2.2000","2.2000","","0.92%"
"10/26/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"10/25/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"10/24/2018","2.1800","2.1800","2.1800","2.1800","","0.00%"
"10/23/2018","2.1800","2.1800","2.1800","2.1800","","0.46%"
"10/22/2018","2.1700","2.1700","2.1700","2.1700","","0.00%"
"10/19/2018","2.1700","2.1700","2.1700","2.1700","","0.00%"
"10/18/2018","2.1700","2.1700","2.1700","2.1700","","0.00%"
"10/17/2018","2.1700","2.1700","2.1700","2.1700","","0.00%"
"10/16/2018","2.1700","2.1700","2.1700","2.1700","","0.00%"
"10/15/2018","2.1700","2.1700","2.1700","2.1700","","0.00%"
"10/12/2018","2.1700","2.1700","2.1700","2.1700","","0.00%"
"10/11/2018","2.1700","2.1700","2.1700","2.1700","","0.46%"
"10/10/2018","2.1600","2.1600","2.1600","2.1600","","0.00%"
"10/09/2018","2.1600","2.1600","2.1600","2.1600","","0.00%"
"10/05/2018","2.1600","2.1600","2.1600","2.1600","","-0.46%"
"10/04/2018","2.1700","2.1700","2.1700","2.1700","","0.46%"
